DeviceName,Brand,cpu,status,body_c,_3_5mm_jack_,dimensions,_4g_bands,weight,resolution,announced,talk_time,price
Apple Watch Edition Series 5,Apple,,"Available. Released 2019, September","50m water resistant
  ECG certified (region dependent SW application; HW available on all models)",No,44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 25(1900), 26(850), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global",47.8 g (1.69 oz),448 x 368 pixels (~326 ppi density),"2019, September",,About 850 EUR
Apple Watch Series 5,Apple,,"Available. Released 2019, September","50m water resistant
  ECG certified (region dependent SW application; HW available on all models)",No,44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 25(1900), 26(850), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global",47.8 g (1.69 oz),448 x 368 pixels (~326 ppi density),"2019, September",,About 750 EUR
Apple Watch Series 5 Aluminum,Apple,,"Available. Released 2019, September","50m water resistant
  ECG certified (region dependent SW application; HW available on all models)",No,44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 25(1900), 26(850), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global",36.7 g (1.31 oz),448 x 368 pixels (~326 ppi density),"2019, September",,About 450 EUR
Apple iPad 10.2,Apple,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),"Available. Released 2019, September",Stylus support (1st gen only),Yes,250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100), 71(600) - A2200",483 g (Wi-Fi) / 493 g (LTE) (1.06 lb),"1620 x 2160 pixels, 4:3 ratio (~264 ppi density)","2019, September",Up to 10 h (multimedia),About 350 EUR
Apple iPhone 11,Apple,Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),"Available. Released 2019, September","IP68 dust/water resistant (up to 2m for 30 mins)
  Apple Pay (Visa, MasterCard, AMEX certified)",No,150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 42(3500), 46(5200), 48, 66(1700/2100) - A2221",194 g (6.84 oz),"828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","2019, September",Up to 17 h (multimedia),"&#36;&thinsp;699.00 / &#163;&thinsp;670.00 / &#8377;&thinsp;64,900"
Apple iPhone 11 Pro,Apple,Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),"Available. Released 2019, September","IP68 dust/water resistant (up to 4m for 30 mins)
  Apple Pay (Visa, MasterCard, AMEX certified)",No,144 x 71.4 x 8.1 mm (5.67 x 2.81 x 0.32 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 42(3500), 46(5200), 48, 66(1700/2100) - A2215",188 g (6.63 oz),"1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","2019, September",Up to 18 h (multimedia),"&#36;&thinsp;999.00 / &#163;&thinsp;989.00 / &#8377;&thinsp;99,900"
Apple iPhone 11 Pro Max,Apple,Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),"Available. Released 2019, September","IP68 dust/water resistant (up to 4m for 30 mins)
  Apple Pay (Visa, MasterCard, AMEX certified)",No,158 x 77.8 x 8.1 mm (6.22 x 3.06 x 0.32 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 42(3500), 46(5200), 48, 66(1700/2100) - A2218",226 g (7.97 oz),"1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","2019, September",Up to 20 h (multimedia),"&#36;&thinsp;1,090.00 / &#163;&thinsp;1,129.00 / &#8377;&thinsp;109,900"
Apple iPad Air (2019),Apple,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),"Available. Released 2019, March",Stylus support,Yes,250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)",456 g (Wi-Fi) / 464 g (3G/LTE) (1.01 lb),"1668 x 2224 pixels, 4:3 ratio (~265 ppi density)","2019, March",Up to 10 h (multimedia),About 550 EUR
Apple iPad mini (2019),Apple,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),"Available. Released 2019, March",Stylus support,Yes,203.2 x 134.8 x 6.1 mm (8.0 x 5.31 x 0.24 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)",300.5 g (Wi-Fi) / 308.2 g (3G/LTE) (10.86 oz),"1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","2019, March",Up to 10 h (multimedia),About 450 EUR
Apple iPad Pro 12.9 (2018),Apple,Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),"Available. Released 2018, November",Stylus support (Bluetooth integration; magnetic),No,280.6 x 214.9 x 5.9 mm (11.05 x 8.46 x 0.23 in),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600)","631 g (Wi-Fi), 633 g (LTE) (1.39 lb)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","2018, October",,About 1100 EUR
