ID Num,Gender,Age,Height,Class,Major,Grad School,GPA,Expected Salary,Annual Salary in 5 Years,Employment Status,Number of Affiliations,Satisfaction Advisement,Spending
ID01,m,19,69,so,mr,y,3.19,40,70,un,0,2,550
ID02,m,21,67,sr,m,un,3.11,50,60,pt,0,2,400
ID03,m,20,68,jr,ef,n,3.02,50,60,pt,0,5,450
ID04,m,18,79,fr,ef,y,4,50,57,pt,0,5,360
ID05,m,19,67,so,m,y,2.75,40,100,pt,1,1,500
ID06,m,21,70,jr,a,y,3.24,60,100,pt,2,5,650
ID07,m,20,68,jr,ef,y,2.93,50,75,un,0,4,500
ID08,m,21,71,jr,m,y,3.26,40,60,pt,0,1,500
ID09,f,20,62,so,mr,n,3.21,45,65,pt,0,4,350
ID10,m,19,70,so,a,y,3.23,50,70,pt,0,6,300
ID11,m,36,67,so,a,un,3.77,60,120,pt,1,4,200
ID12,f,19,65,so,a,un,3.71,40,60,un,0,5,550
ID13,f,20,65,jr,a,un,3.2,45,65,pt,3,5,425
ID14,f,21,65,jr,mr,y,2.94,40,60,pt,0,4,600
ID15,f,19,66,so,mr,y,3.22,40,80,pt,0,3,600
ID16,m,20,69,jr,un,un,3.34,60,90,pt,0,5,400
ID17,f,19,64,fr,ib,un,3.09,40,65,un,1,4,250
ID18,m,20,67,jr,mr,n,3.72,50,80,pt,2,4,350
ID19,m,23,70,jr,ef,un,2.5,50,75,un,0,2,400
ID20,m,20,70,so,ef,y,2.74,60,75,un,0,4,400
ID21,f,20,63,so,mr,y,3.55,60,100,pt,2,5,500
ID22,f,19,67,so,m,un,3,45,65,pt,0,3,600
ID23,f,19,65,so,mr,y,3.62,40,90,pt,0,3,400
ID24,f,20,63,jr,m,un,2.6,40,60,pt,1,3,500
ID25,f,22,63,sr,ef,y,3.63,50,150,pt,3,6,1000
ID26,f,21,65,sr,o,n,2.38,40,60,pt,2,4,300
ID27,m,21,73,jr,m,y,2.45,40,65,pt,0,2,450
ID28,m,30,71,jr,m,n,3.28,50,75,pt,0,5,550
ID29,f,20,66,so,ib,un,3.18,50,75,un,1,5,600
ID30,m,24,62,so,a,n,3.33,55,85,pt,0,4,400
ID31,f,19,69,so,mr,un,2.87,30,50,pt,0,3,700
ID32,f,33,67,sr,a,n,3.14,45,75,ft,0,5,500
ID33,f,19,64,fr,ib,n,3.44,45,90,pt,1,6,350
ID34,m,20,72,so,m,y,3.85,60,100,pt,1,1,450
ID35,f,22,61,jr,o,y,3.5,45,60,un,0,7,600
ID36,m,21,69,so,ef,n,2.92,55,85,pt,0,5,400
ID37,f,19,60,fr,a,un,2.8,55,80,pt,0,3,450
ID38,f,21,66,jr,mr,un,2.67,40,65,pt,0,3,800
ID39,m,20,69,so,a,un,2.65,45,80,un,0,3,400
ID40,f,20,63,so,is,n,2.88,50,80,un,1,4,375
ID41,f,19,65,so,ef,un,3.43,50,100,pt,0,3,400
ID42,f,21,63,jr,ef,y,3.48,60,110,pt,0,5,500
ID43,m,20,68,so,a,un,2.91,45,90,pt,1,4,350
ID44,m,19,72,so,a,n,2.75,50,80,pt,0,5,525
ID45,m,22,69,jr,is,y,3.62,55,85,un,2,4,400
ID46,m,21,68,jr,m,n,2.42,35,60,pt,1,3,450
ID47,f,22,66,jr,mr,n,2.76,40,65,pt,0,3,500
ID48,m,19,69,fr,un,un,3.1,45,70,pt,0,4,400
ID49,m,20,68,so,is,n,2.61,40,65,pt,1,3,450
ID50,f,20,66,so,is,n,3.13,45,80,pt,0,2,500
,,,,,,,,,,,,,
